Aalter trein,Aarschot trein,Antwerpen trein,Brugge trein,Brussel trein,Denderleeuw trein,Dendermonde trein,Diest trein,Gent trein,Halle trein,Hasselt trein,Kortrijk trein,Landen trein,Leuven trein,Lier trein,Lokeren trein,Li̬ge-Guillemins trein,Mechelen trein,Namur trein,Oostende trein,Ottignies trein,Tienen trein,Vilvoorde trein,Waregem trein
0,7,16,2,44,0,0,0,26,0,3,35,0,2,23,30,0,15,0,65,0,0,0,0
0,0,12,6,56,0,0,0,15,24,0,24,0,3,47,31,15,11,0,40,0,0,0,0
31,8,14,3,69,0,0,0,42,0,3,24,0,3,0,0,0,8,0,27,0,0,0,0
0,0,14,4,44,0,0,0,0,28,4,28,0,2,0,36,17,0,0,54,0,0,0,0
0,0,17,8,73,0,0,0,35,28,5,28,0,2,0,72,9,17,0,54,0,0,0,0
20,0,12,7,47,0,0,0,25,23,3,46,0,2,23,61,0,7,0,49,0,0,0,0
0,7,11,5,48,0,0,0,18,0,3,35,0,2,0,31,7,7,0,78,0,0,0,0
20,7,14,2,48,0,0,0,18,23,2,47,0,3,0,0,0,7,0,59,0,0,0,0
0,7,12,2,66,0,0,0,26,0,3,35,0,2,23,0,7,7,0,59,0,0,0,0
21,0,14,5,58,0,0,0,23,0,2,0,0,2,0,32,0,23,0,21,0,0,0,0
0,0,13,3,53,0,0,0,35,0,4,37,0,4,56,0,18,13,0,39,0,0,0,0
0,0,22,2,52,0,0,0,17,0,3,0,0,3,28,36,9,9,0,62,0,0,0,0
0,0,19,6,73,0,0,0,33,0,3,46,0,3,35,60,15,7,0,65,0,0,0,0
0,0,15,3,69,0,0,0,25,0,0,0,0,2,0,61,18,7,0,65,0,0,30,0
0,0,19,6,47,0,0,0,22,0,3,35,0,4,0,30,14,15,0,52,0,0,0,0
20,0,22,4,52,0,0,0,22,0,2,24,0,2,24,0,11,19,0,53,0,0,0,0
0,8,13,5,72,0,0,0,27,0,3,24,0,2,24,31,0,19,0,54,0,0,0,0
0,0,11,6,52,0,0,0,26,0,2,83,0,4,28,0,17,13,0,62,0,0,36,0
0,0,15,6,47,0,0,0,30,0,6,27,0,4,0,0,9,17,0,100,0,0,0,0
0,0,22,3,65,0,0,0,19,0,3,48,0,3,0,0,11,15,0,81,0,0,32,0
20,7,17,3,51,0,0,0,55,23,3,39,0,2,0,30,15,44,0,84,0,0,0,0
0,0,13,3,44,0,0,0,11,23,3,35,0,3,47,0,7,7,0,46,0,0,30,0
0,0,13,3,59,0,0,0,37,0,3,35,0,2,23,0,7,18,0,66,0,0,0,0
20,0,11,2,76,0,0,0,27,24,4,0,0,3,0,0,11,8,0,40,0,0,31,0
0,0,10,3,29,0,0,0,46,27,2,40,0,0,27,0,0,17,0,90,0,0,35,0
0,17,20,3,50,0,0,0,13,0,4,27,0,4,0,0,0,0,0,22,0,0,0,0
19,0,9,5,54,0,0,0,47,23,3,34,0,3,23,30,7,11,0,51,0,0,30,0
0,0,9,3,47,0,0,0,22,23,2,35,0,5,35,30,15,7,0,78,0,0,0,0
0,7,6,7,47,0,0,0,29,0,2,23,0,2,23,59,0,22,0,58,0,0,30,0
0,7,13,2,44,0,0,0,26,23,2,23,0,2,35,0,7,11,0,49,0,0,0,0
0,0,14,2,34,0,0,0,23,0,2,36,0,3,24,0,8,11,0,67,0,0,0,0
0,0,15,4,63,0,0,0,34,0,2,45,0,4,27,0,8,17,0,90,0,0,35,0
0,0,16,6,38,0,0,0,21,0,2,44,0,5,26,0,8,0,0,78,0,0,0,0
19,7,20,4,74,0,0,0,28,0,2,37,0,4,22,29,7,14,0,44,0,0,0,0
0,0,14,3,81,0,0,0,39,0,3,45,0,2,45,29,14,7,0,69,0,0,29,0
19,7,12,4,50,0,0,0,21,0,2,45,0,8,45,0,7,7,0,63,0,0,0,0
0,0,18,5,75,0,0,0,18,0,3,38,0,0,68,30,7,7,0,44,0,0,0,0
0,0,12,0,48,0,0,0,18,0,4,39,0,3,47,30,0,22,0,46,0,0,0,0
0,0,9,2,68,0,0,0,17,0,2,54,0,2,54,70,0,13,0,23,0,0,0,0
0,0,12,3,66,0,0,0,33,0,0,39,0,0,26,34,0,8,0,29,0,0,34,0
0,0,13,2,47,0,0,0,7,0,3,23,0,3,0,0,7,7,0,39,0,0,0,0
19,0,16,3,32,0,0,0,28,0,2,22,0,5,0,0,7,18,0,37,0,0,0,0
0,14,12,3,46,0,0,0,11,23,3,34,0,3,23,0,0,14,0,31,0,0,29,0
0,0,9,3,32,0,0,0,11,0,3,45,0,7,22,59,7,0,0,63,0,0,29,0
0,0,7,4,65,0,0,0,22,0,2,23,0,4,23,0,0,0,0,90,0,0,0,0
0,8,6,5,16,0,0,0,91,0,2,52,0,2,0,0,17,17,0,44,0,0,34,0
0,0,15,5,41,0,0,0,37,26,6,26,0,7,26,0,16,0,0,36,0,0,0,0
0,0,15,3,71,0,0,0,21,23,2,23,0,5,0,0,7,0,0,19,0,0,0,0
19,0,15,2,66,0,0,0,24,22,2,22,0,5,0,29,14,7,0,37,0,0,0,0
0,0,10,2,39,0,0,0,35,0,2,45,0,3,23,0,7,7,0,44,0,0,29,0
0,7,10,3,43,0,0,0,32,46,2,23,0,4,0,0,14,18,0,38,0,0,30,0
0,7,14,7,52,0,0,0,22,0,0,23,0,3,23,30,0,7,0,39,0,0,0,0
0,0,9,6,57,0,0,0,45,0,3,52,0,4,0,0,8,8,0,51,0,0,34,0
0,8,16,5,68,0,0,0,28,25,2,64,0,4,25,0,16,8,0,21,0,0,33,0
0,0,15,3,65,0,0,0,24,0,2,44,0,2,22,43,7,0,0,18,0,0,0,0
18,0,16,3,55,0,0,0,20,0,2,22,0,3,0,43,0,7,0,36,0,0,0,0
0,0,16,3,45,0,0,0,28,0,2,29,0,4,0,29,7,14,0,31,0,0,29,0
0,7,12,6,77,0,0,0,17,0,4,22,0,5,0,29,21,7,0,18,0,0,0,0
20,0,15,3,66,0,0,0,26,0,2,23,0,5,0,0,15,11,0,33,0,0,30,0
22,0,18,3,74,0,0,0,33,26,2,26,0,7,0,0,16,0,0,33,0,0,0,0
0,0,22,2,65,0,0,0,16,26,2,26,0,5,26,0,16,33,0,51,0,0,0,0
0,7,18,3,69,0,0,0,35,0,2,33,0,4,0,0,14,10,0,18,0,0,29,0
0,0,13,5,45,0,0,0,17,0,5,36,0,6,0,0,7,10,0,55,0,0,0,0
0,0,14,3,80,0,0,0,35,0,2,33,0,6,0,29,7,10,0,46,0,0,29,0
0,0,13,2,77,0,0,0,49,22,0,52,0,2,22,0,14,21,0,37,0,0,29,0
0,0,23,3,47,0,0,0,36,0,2,46,0,3,0,30,0,15,0,39,0,0,30,0
21,0,6,5,40,0,0,0,20,0,4,51,0,4,26,33,16,12,0,57,0,0,0,0
0,0,25,3,43,0,0,0,31,25,3,62,0,3,50,32,8,12,0,52,0,0,65,0
0,0,5,3,85,0,0,0,27,0,5,36,0,0,0,0,7,0,0,30,0,0,0,0
0,7,15,3,64,0,0,0,30,0,5,43,0,5,21,28,7,7,0,42,0,0,0,0
0,7,21,3,78,0,0,0,10,0,2,43,0,7,0,28,10,10,0,45,0,0,28,0
19,7,13,5,80,0,0,0,35,0,2,22,0,3,0,0,7,14,0,31,0,0,0,0
0,0,13,4,57,0,0,0,18,23,4,34,0,4,0,0,7,11,0,32,0,0,0,0
0,0,12,5,56,0,0,0,24,0,2,38,0,3,26,100,16,8,0,36,0,0,0,0
0,0,17,2,52,0,0,0,12,0,2,25,0,8,0,0,8,12,0,64,0,0,0,0
0,24,16,2,83,0,0,0,28,22,2,33,0,9,22,0,0,21,0,25,0,0,29,0
0,7,12,2,52,0,0,0,21,0,2,55,0,6,22,0,7,7,0,18,0,0,28,0
19,7,12,2,63,0,0,0,21,22,2,44,0,8,0,29,7,0,0,37,0,0,0,0
18,0,12,5,48,0,0,0,17,22,6,43,0,5,0,57,7,7,0,49,0,0,0,0
0,7,14,3,60,0,0,0,14,23,0,45,0,6,0,0,0,7,0,28,0,0,0,0
0,8,15,5,56,0,0,0,40,0,3,38,0,4,0,0,16,8,0,50,0,0,0,0
0,8,18,7,98,0,0,0,43,0,4,41,0,8,0,0,0,16,0,42,0,0,0,0
18,7,11,3,54,0,0,0,20,21,2,21,0,5,0,0,10,20,0,36,0,0,0,0
24,7,16,3,64,0,0,0,34,43,2,32,0,4,22,0,7,17,0,18,0,0,28,0
18,7,9,2,64,0,0,0,20,0,2,21,0,3,22,0,0,7,0,45,0,0,0,0
18,7,13,4,81,0,0,0,24,0,0,36,0,8,0,0,0,7,0,42,0,0,28,0
19,0,6,6,53,0,0,0,35,0,9,30,0,6,45,0,14,0,0,47,0,0,0,0
0,0,12,7,43,0,0,0,16,25,3,25,0,4,25,0,0,0,0,21,0,0,0,0
0,0,14,3,63,0,0,0,24,0,3,62,0,2,25,33,8,12,0,35,0,0,0,0
18,0,17,5,85,0,0,0,10,0,2,32,0,5,22,0,7,7,0,18,0,0,0,0
0,0,12,5,70,0,0,0,27,42,2,21,0,4,0,56,7,0,0,27,0,0,0,0
0,7,11,6,70,0,0,0,27,0,3,0,0,4,0,28,0,13,0,45,0,0,0,0
0,7,11,2,54,0,0,0,17,22,2,22,0,2,22,0,14,7,0,36,0,0,0,0
0,7,8,0,50,0,0,0,25,0,4,91,0,6,23,0,14,7,0,38,0,0,0,0
0,0,18,4,28,0,0,0,48,51,2,0,0,9,0,67,8,8,0,43,0,0,0,0
0,0,17,4,39,0,0,0,47,0,2,25,0,4,0,97,0,16,0,64,0,0,0,0
0,0,14,3,49,0,0,0,45,0,0,45,0,3,0,29,7,0,0,31,0,0,0,0
0,0,20,3,84,0,0,0,35,0,2,30,0,3,22,0,7,14,0,37,0,0,0,0
0,0,15,5,72,0,0,0,21,22,0,36,0,6,0,0,0,10,0,73,0,0,0,0
0,0,17,8,51,0,0,0,34,22,3,29,0,3,0,0,0,14,0,36,0,0,0,0
0,7,10,5,38,0,0,0,24,0,2,44,0,3,45,0,0,14,0,28,0,0,0,0
0,0,13,3,46,0,0,0,31,0,2,37,0,2,49,32,8,0,0,34,0,0,0,0
20,8,14,5,80,0,0,0,27,0,2,48,0,5,0,32,0,0,0,61,0,0,0,0
0,0,16,4,69,0,0,0,20,0,4,0,0,4,0,0,0,7,0,29,0,0,0,0
0,13,9,3,56,0,0,0,16,0,1,31,0,1,0,0,13,10,0,26,0,0,27,0
0,0,9,2,47,0,0,0,25,0,1,20,0,3,20,26,9,6,0,28,0,0,0,0
0,0,7,2,47,0,0,0,41,0,2,64,0,4,21,0,14,14,0,30,0,0,0,0
0,0,14,2,53,0,0,0,32,22,3,22,0,4,0,29,14,7,0,25,0,0,0,0
0,0,14,4,23,0,0,0,20,0,4,25,0,4,25,0,0,8,0,28,0,0,32,0
0,0,9,4,73,0,0,0,34,0,2,24,0,3,24,0,12,12,0,83,0,0,0,0
0,0,15,3,50,0,0,0,30,21,1,28,0,4,21,0,0,13,0,35,0,0,0,0
18,0,10,5,50,0,0,0,30,0,2,32,0,4,43,0,13,13,0,18,0,0,0,0
0,0,9,0,53,0,0,0,20,21,3,53,0,5,21,0,0,13,0,53,0,0,0,0
18,14,12,2,45,0,0,0,24,0,5,43,0,3,22,0,7,7,0,27,0,0,28,0
0,0,10,6,52,0,0,0,38,33,2,44,0,4,22,0,14,14,0,38,0,0,29,0
21,0,6,4,35,0,0,0,16,0,2,37,0,5,49,32,8,16,0,48,0,0,0,0
0,0,9,3,100,0,0,0,46,24,2,24,0,3,48,0,0,15,0,55,0,0,32,0
0,0,15,3,79,0,0,0,33,0,1,21,0,1,42,0,0,7,0,35,0,0,0,0
0,7,11,4,46,0,0,0,17,0,0,28,0,5,0,0,0,7,0,18,0,0,0,0
0,0,12,6,54,0,0,0,27,21,3,43,0,3,21,0,13,7,0,24,0,0,0,0
0,7,11,2,66,0,0,0,42,0,2,22,0,2,0,29,0,14,0,37,0,0,0,0
19,7,6,5,52,0,0,0,10,0,2,33,0,2,22,0,10,14,0,28,0,0,29,0
0,0,10,3,50,0,0,0,12,0,3,24,0,2,74,32,15,15,0,20,0,0,0,0
20,8,15,3,65,0,0,0,34,0,3,60,0,3,24,0,11,15,0,30,0,0,0,0
18,7,13,4,45,0,0,0,32,0,3,41,0,0,21,0,7,10,0,23,0,0,0,0
0,0,18,3,65,0,0,0,16,0,2,31,0,2,0,54,7,10,0,29,0,0,0,0
0,0,8,2,63,0,0,0,23,0,0,0,0,0,0,55,0,7,0,18,0,0,0,0
0,0,15,5,74,0,0,0,33,0,2,32,0,4,43,0,13,13,0,30,0,0,0,0
18,7,9,3,48,0,0,0,10,0,2,44,0,2,65,0,0,14,0,31,0,0,28,0
0,0,14,3,58,0,0,0,8,0,2,24,0,2,24,64,8,8,0,41,0,0,0,0
0,0,10,3,30,0,0,0,38,0,3,84,0,3,0,32,8,8,0,41,0,0,0,0
0,0,10,4,49,0,0,0,26,0,3,0,0,5,0,55,7,10,0,0,0,0,0,0
0,0,9,3,82,0,0,0,49,0,3,31,0,2,21,27,7,20,0,53,0,0,27,0
18,7,10,5,70,0,0,0,10,0,3,35,0,2,0,0,7,7,0,18,0,0,0,0
18,0,19,2,44,0,0,0,24,22,0,22,0,3,22,28,7,7,0,18,0,0,0,0
0,14,13,2,50,0,0,0,14,0,0,30,0,4,23,59,11,7,0,19,0,0,0,0
0,0,11,3,31,0,0,0,9,0,3,28,0,2,28,36,9,0,0,23,0,0,0,0
0,8,12,8,67,0,0,0,28,25,3,25,0,7,38,0,8,16,0,35,0,0,66,0
18,0,19,6,73,0,0,0,27,0,1,21,0,4,0,0,13,0,0,27,0,0,55,0
18,0,18,3,59,0,0,0,26,0,3,31,0,3,21,0,7,7,0,35,0,0,27,0
0,0,17,2,73,0,0,0,23,0,4,63,0,3,0,0,7,7,0,53,0,0,0,0
18,0,11,6,75,0,0,0,14,22,4,0,0,5,0,0,7,0,0,36,0,0,0,0
0,0,9,2,50,0,0,0,7,23,2,68,0,6,0,29,7,14,0,19,0,0,0,0
0,0,14,2,56,0,0,0,28,0,2,76,0,4,0,0,8,8,0,21,0,0,0,0
0,0,13,3,82,0,0,0,23,0,2,25,0,4,0,0,8,8,0,31,0,0,33,0
18,13,12,6,54,0,0,0,27,22,2,22,0,5,21,0,14,7,0,36,0,0,0,0
0,7,11,3,24,0,0,0,10,22,2,33,0,5,0,0,0,21,0,43,0,0,0,0
19,14,12,4,60,0,0,0,21,22,3,56,0,3,0,0,7,0,0,44,0,0,0,0
19,7,15,2,65,0,0,0,25,23,5,23,0,3,23,0,7,7,0,0,0,0,0,0
0,7,16,3,41,0,0,0,37,0,2,36,0,2,0,31,0,15,0,20,0,0,0,0
0,0,14,4,51,0,0,0,21,0,4,27,0,6,0,0,0,17,0,46,0,0,0,0
24,0,11,5,26,0,0,0,35,0,6,56,0,4,0,37,0,9,0,35,0,0,0,0
0,0,20,3,57,0,0,0,15,0,3,24,0,5,0,0,11,8,0,40,0,0,0,0
0,7,16,3,74,0,0,0,35,0,2,33,0,6,22,29,21,14,0,37,0,0,0,0
0,0,19,9,68,0,0,0,18,0,0,30,0,2,23,0,11,7,0,32,0,0,0,0
0,0,11,3,68,0,0,0,32,23,2,0,0,6,0,30,22,18,0,32,0,0,0,0
0,0,13,2,82,0,0,0,30,0,0,24,0,4,47,0,15,7,0,33,0,0,46,0
0,0,12,3,13,0,0,0,21,0,0,26,0,6,0,0,17,0,0,22,0,0,0,0
23,0,25,2,55,0,0,0,17,0,2,54,0,2,27,0,0,9,0,45,0,0,0,0
19,7,23,6,81,0,0,0,25,0,6,23,0,3,23,29,7,7,0,38,0,0,29,0
0,0,20,2,80,0,0,0,33,43,5,21,0,3,43,28,13,13,0,36,0,0,0,0
18,0,13,5,72,0,0,0,36,21,0,31,0,2,21,0,27,16,0,24,0,0,27,0
0,0,15,4,88,0,0,0,24,0,6,32,0,5,0,28,0,7,0,45,0,0,42,0
0,0,27,5,86,0,0,0,38,22,2,33,0,4,22,0,7,7,0,31,0,0,0,0
20,0,15,2,53,0,0,0,11,0,3,48,0,6,24,31,0,0,0,47,0,0,0,0
0,0,8,3,34,0,0,0,22,24,0,32,0,3,0,0,7,11,0,40,0,0,0,0
0,0,13,2,71,0,0,0,6,21,1,31,0,3,21,27,7,0,0,43,0,0,0,0
0,0,10,3,52,0,0,0,26,0,1,72,0,2,21,54,7,7,0,17,0,0,0,0
0,6,10,2,49,0,0,0,32,41,4,21,0,4,0,27,6,7,0,17,0,0,0,0
0,7,12,4,49,0,0,0,26,0,3,42,0,3,0,27,7,7,0,61,0,0,27,0
18,0,16,8,60,0,0,0,33,21,4,21,0,5,21,0,0,13,0,36,0,0,28,0
0,0,9,2,67,0,0,0,26,0,2,40,0,2,0,31,0,22,0,50,0,0,0,0
0,7,15,2,56,0,0,0,22,0,3,71,0,3,0,0,7,7,0,33,0,0,31,0
17,6,12,3,58,0,0,0,16,0,3,41,0,4,42,82,6,6,0,26,0,0,27,0
0,6,11,0,61,0,0,0,13,21,1,20,0,1,21,27,19,0,0,23,0,0,0,0
0,0,7,2,55,0,0,0,13,21,4,42,0,2,20,27,6,0,0,17,0,0,0,0
0,0,12,1,46,0,0,0,13,0,3,41,0,1,20,0,7,7,0,26,0,0,0,0
0,0,13,2,43,0,0,0,17,0,2,21,0,2,21,0,0,0,0,24,0,0,27,0
0,8,6,5,68,0,0,0,38,0,3,48,0,2,24,31,0,7,0,20,0,0,62,0
20,15,10,4,63,0,0,0,11,23,3,47,0,3,0,31,15,7,0,40,0,0,0,0
0,0,11,4,70,0,0,0,10,20,0,20,0,2,20,27,6,10,0,34,0,0,27,0
0,0,15,3,84,0,0,0,32,31,1,21,0,4,21,54,0,16,0,17,0,0,0,0
0,6,17,5,48,0,0,0,22,0,3,51,0,3,20,0,19,6,0,0,0,0,54,0
18,0,10,3,49,0,0,0,16,0,0,21,0,2,0,0,0,7,0,26,0,0,0,0
0,7,21,5,67,0,0,0,20,0,2,43,0,4,0,0,7,20,0,36,0,0,0,0
0,8,9,0,61,0,0,0,31,24,2,0,0,3,0,0,15,11,0,20,0,0,0,0
0,0,18,3,37,0,0,0,15,24,2,24,0,3,24,0,8,15,0,50,0,0,0,0
17,0,9,2,42,0,0,0,26,41,0,41,0,4,0,0,6,19,0,43,0,0,0,0
0,0,11,1,35,0,0,0,16,0,4,40,0,4,20,27,6,6,0,52,0,0,0,0
0,0,7,1,61,0,0,0,10,20,2,41,0,1,0,0,6,6,0,43,0,0,0,0
17,6,9,3,65,0,0,0,16,41,2,21,0,1,41,0,6,6,0,43,0,0,0,0
0,0,11,4,50,0,0,0,17,21,2,42,0,2,0,0,7,20,0,18,0,0,0,0
0,0,9,6,52,0,0,0,22,0,2,47,0,7,0,0,11,7,0,26,0,0,0,0
0,0,13,7,69,0,0,0,36,0,2,23,0,2,0,0,0,7,0,59,0,0,0,0
0,6,11,4,57,0,0,0,16,0,1,20,0,3,20,0,0,0,0,17,0,0,0,0
0,6,15,1,60,0,0,0,32,0,3,54,0,1,0,0,0,6,0,34,0,0,26,0
0,6,12,6,57,0,0,0,19,20,0,41,0,4,20,0,6,13,0,17,0,0,27,0
0,0,12,1,58,0,0,0,19,0,0,21,0,3,0,0,6,13,0,17,0,0,27,0
18,7,18,3,50,0,0,0,27,21,5,32,0,5,21,28,7,0,0,18,0,0,0,0
0,0,14,3,41,0,0,0,30,23,5,35,0,2,0,92,7,0,0,20,0,0,31,0
0,0,13,0,59,0,0,0,18,23,3,46,0,4,0,0,15,7,0,19,0,0,0,0
0,0,17,2,41,0,0,0,19,0,1,100,0,3,20,0,6,0,0,17,0,0,52,0
0,0,9,2,32,0,0,0,10,0,2,41,0,7,0,0,0,0,0,23,0,0,26,0
0,6,10,2,36,0,0,0,10,0,0,21,0,2,21,0,0,6,0,23,0,0,0,0
0,7,15,1,65,0,0,0,29,21,0,21,0,4,21,0,0,19,0,43,0,0,27,0
0,7,14,6,53,0,0,0,23,0,3,21,0,2,21,28,13,10,0,0,0,0,0,0
0,8,16,3,57,0,0,0,34,0,3,48,0,100,24,0,8,8,0,30,0,0,31,0
20,7,15,7,75,0,0,0,22,0,2,24,0,41,24,78,15,22,0,40,0,0,0,0
0,13,17,5,84,0,0,0,39,0,3,51,0,15,21,0,6,13,0,29,0,0,0,0
34,0,10,1,57,0,0,0,25,0,2,33,0,6,0,0,0,6,0,17,0,0,0,0
0,0,14,1,51,0,0,0,22,0,2,20,0,6,20,27,0,16,0,34,0,0,27,0
17,0,12,1,73,0,0,0,19,41,3,20,0,7,20,0,0,10,0,17,0,0,53,0
27,7,12,3,77,0,0,0,30,0,0,21,0,5,0,28,0,10,0,18,0,0,0,0
0,8,11,3,53,0,0,0,15,0,0,36,0,4,0,0,11,8,0,20,0,0,0,0
0,0,13,2,41,0,0,0,37,24,3,47,0,4,24,31,0,30,0,99,0,0,31,0
0,0,10,1,61,0,0,0,16,21,4,41,0,4,41,0,10,6,0,17,0,0,0,0
0,0,13,6,63,0,0,0,33,0,6,52,0,7,0,41,0,20,0,23,0,0,0,0
0,0,16,1,57,0,0,0,19,20,3,67,0,2,20,0,6,6,0,34,0,0,0,0
0,0,15,4,44,0,0,0,28,0,2,80,0,1,20,26,13,19,0,25,0,0,0,0
18,13,13,3,46,0,0,0,16,0,3,31,0,3,0,27,7,7,0,23,0,0,27,0
0,0,10,5,66,0,0,0,18,0,3,58,0,3,0,30,0,0,0,29,0,0,0,0
20,0,11,4,72,0,0,0,14,46,2,23,0,2,0,0,0,18,0,29,0,0,0,0
17,0,6,3,53,0,0,0,34,20,1,20,0,5,20,0,0,6,0,0,0,0,26,0
0,0,11,6,35,0,0,0,19,0,1,33,0,9,0,0,9,9,0,17,0,0,26,0
0,0,8,3,50,0,0,0,13,20,0,40,0,2,0,0,6,19,0,17,0,0,0,0
17,0,17,1,77,0,0,0,16,0,3,61,0,5,34,0,6,13,0,51,0,0,0,0
0,7,12,4,26,0,0,0,30,0,3,42,0,5,32,0,0,7,0,29,0,0,0,0
39,0,19,2,48,0,0,0,15,0,5,35,0,6,23,30,0,11,0,20,0,0,0,0
0,0,12,5,58,0,0,0,18,23,0,70,0,7,35,0,7,15,0,39,0,0,30,0
0,0,16,4,54,0,0,0,13,20,3,20,0,3,20,0,6,10,0,23,0,0,0,0
0,6,10,1,60,0,0,0,22,0,3,30,0,3,27,0,6,9,0,22,0,0,26,0
17,0,12,2,67,0,0,0,19,0,3,30,0,4,20,0,0,0,0,34,0,0,26,0
0,0,11,1,48,0,0,0,19,0,2,40,0,4,20,0,13,19,0,26,0,0,0,0
0,0,12,4,76,0,0,0,36,21,2,21,0,2,21,28,7,7,0,30,0,0,0,0
0,7,12,2,55,0,0,0,22,23,2,35,0,4,47,0,7,7,0,58,0,0,0,0
0,14,20,7,76,0,0,0,22,0,2,23,0,3,0,0,7,11,0,48,0,0,30,0
0,0,11,3,57,0,0,0,19,20,0,20,0,4,20,0,0,6,0,34,0,0,0,0
0,6,9,4,79,0,0,0,19,20,3,20,0,4,20,0,0,13,0,42,0,0,26,0
17,0,11,3,72,0,0,0,19,0,0,30,0,6,0,0,6,13,0,34,0,0,0,0
0,0,10,1,32,0,0,0,32,41,1,20,0,1,20,0,0,6,0,17,0,0,0,0
0,0,9,5,44,0,0,0,17,21,0,0,0,4,0,28,7,24,0,53,0,0,0,0
0,0,10,6,49,0,0,0,30,0,3,60,0,5,0,0,0,8,0,27,0,0,0,0
30,8,15,4,52,0,0,0,45,0,3,36,0,2,36,0,7,7,0,33,0,0,0,0
0,0,7,5,79,0,0,0,19,0,2,30,0,4,20,0,6,6,0,42,0,0,0,0
0,6,7,3,82,0,0,0,25,40,3,20,0,4,0,27,0,19,0,17,0,0,0,0
0,0,16,2,71,0,0,0,32,0,3,21,0,1,21,0,0,13,0,29,0,0,27,0
0,0,13,2,56,0,0,0,20,21,1,31,0,2,21,27,7,7,0,26,0,0,0,0
18,0,14,6,81,0,0,0,17,0,5,0,0,4,0,28,13,7,0,24,0,0,28,0
20,0,16,5,41,0,0,0,26,0,2,40,0,3,24,0,0,15,0,30,0,0,0,0
40,7,21,3,60,0,0,0,26,0,3,60,0,4,24,0,15,8,0,34,0,0,0,0
0,6,15,1,74,0,0,0,26,41,1,41,0,5,0,27,0,6,0,52,0,0,0,0
0,0,13,1,62,0,0,0,32,0,3,21,0,2,31,27,7,13,0,63,0,0,27,0
0,0,14,1,61,0,0,0,23,0,1,41,0,3,21,0,0,13,0,34,0,0,0,0
